"Index","price","return"
"2012-01-04","2012-01-04",1277.30004882812,0.000187906344437216
"2012-01-05","2012-01-05",1281.06005859375,0.00293939266949472
"2012-01-06","2012-01-06",1277.81005859375,-0.00254018500253927
"2012-01-09","2012-01-09",1280.69995117188,0.00225904436260826
"2012-01-10","2012-01-10",1292.07995605469,0.0088465236130606
"2012-01-11","2012-01-11",1292.47998046875,0.000309549344632565
"2012-01-12","2012-01-12",1295.5,0.0023338827385686
"2012-01-13","2012-01-13",1289.08996582031,-0.00496020444786893
"2012-01-17","2012-01-17",1293.67004394531,0.0035466577681742
"2012-01-18","2012-01-18",1308.0400390625,0.0110466891302217
"2012-01-19","2012-01-19",1314.5,0.00492650171724485
"2012-01-20","2012-01-20",1315.38000488281,0.000669235793285594
"2012-01-23","2012-01-23",1316,0.000471231922040793
"2012-01-24","2012-01-24",1314.65002441406,-0.00102634382522382
"2012-01-25","2012-01-25",1326.06005859375,0.00864169471719567
"2012-01-26","2012-01-26",1318.43005371094,-0.00577050828798864
"2012-01-27","2012-01-27",1316.32995605469,-0.00159414754529053
"2012-01-30","2012-01-30",1313.01000976562,-0.0025253090863453
"2012-01-31","2012-01-31",1312.41003417969,-0.000457051128078589
"2012-02-01","2012-02-01",1324.08996582031,0.00886023747426634
"2012-02-02","2012-02-02",1325.5400390625,0.0010945478306672
"2012-02-03","2012-02-03",1344.90002441406,0.0144997259481077
"2012-02-06","2012-02-06",1344.32995605469,-0.00042396401353173
"2012-02-07","2012-02-07",1347.05004882812,0.00202133752547073
"2012-02-08","2012-02-08",1349.9599609375,0.00215788093332492
"2012-02-09","2012-02-09",1351.94995117188,0.0014730251258781
"2012-02-10","2012-02-10",1342.64001464844,-0.00691012264361568
"2012-02-13","2012-02-13",1351.77001953125,0.00677702332649677
"2012-02-14","2012-02-14",1350.5,-0.000939965003925458
"2012-02-15","2012-02-15",1343.22998046875,-0.00539774753621636
"2012-02-16","2012-02-16",1358.0400390625,0.0109653658332762
"2012-02-17","2012-02-17",1361.22998046875,0.00234617588294039
"2012-02-21","2012-02-21",1362.2099609375,0.000719663757696054
"2012-02-22","2012-02-22",1357.66003417969,-0.0033456974121453
"2012-02-23","2012-02-23",1363.4599609375,0.00426290318060563
"2012-02-24","2012-02-24",1365.73999023438,0.00167084117550864
